"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",102.3748,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.2408,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",102.1204,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",102.0353,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",101.9954,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",101.9439,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",101.7979,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",101.499,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",101.1601,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",100.9442,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",100.9834,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.1757,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.3905,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.5207,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.5131,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.2731,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.7073,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",99.9982,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",99.3661,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",98.97339,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",98.75253,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",98.62383,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",98.54145,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",98.44726,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",98.28323,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",98.01576,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",97.72964,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",97.5459,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",97.55817,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",97.6667,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",97.74098,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",97.68602,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",97.54295,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",97.36916,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",97.20641,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",97.0799,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-06",97.02099,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-07",97.05391,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-08",97.11476,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-09",97.1235,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-10",97.02803,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-11",96.90031,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-12",96.85707,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-01",97.01257,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-02",97.34704,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-03",97.86592,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-04",98.58012,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-05",99.30194,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-06",99.77011,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-07",99.7674,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-08",99.49169,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-09",99.17408,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-10",98.96982,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-11",98.89127,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-12",98.94225,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-01",99.12653,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-02",99.32706,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-03",99.40134,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-04",99.26074,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-05",99.07596,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-06",99.10289,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-07",99.55265,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-08",100.2499,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-09",100.9875,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-10",101.6335,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-11",102.1979,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-12",102.7112,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-01",103.185,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-02",103.6227,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-03",104.0004,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-04",104.2845,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-05",104.5078,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-06",104.6956,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-07",104.8525,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-08",104.9837,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-09",105.0789,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-10",105.1202,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-11",105.1275,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-12",105.1166,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-01",105.092,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-02",105.0583,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-03",105.0091,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-04",104.9265,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-05",104.7947,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-06",104.5779,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-07",104.247,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-08",103.892,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-09",103.6327,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-10",103.5545,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-11",103.5475,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-12",103.4552,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-01",103.1511,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-02",102.7009,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-03",102.1769,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-04",101.6193,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-05",101.0696,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-06",100.5694,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-07",100.1501,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-08",99.77374,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-09",99.40237,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-10",99.02503,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-11",98.67918,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-12",98.44344,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-01",98.39867,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-02",98.47907,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-03",98.62189,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-04",98.79189,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-05",98.94345,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-06",99.02549,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-07",99.00468,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-08",98.95834,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-09",98.99023,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-10",99.17209,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-11",99.40678,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-12",99.56118,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-01",99.54623,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-02",99.47728,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-03",99.51422,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-04",99.75552,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-05",100.0265,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-06",100.0574,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-07",99.63284,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-08",98.9795,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-09",98.38715,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-10",98.05732,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-11",97.89127,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-12",97.74999,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-01",97.55022,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-02",97.3358,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-03",97.19772,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-04",97.20867,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-05",97.28146,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-06",97.29785,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-07",97.1757,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-08",96.99247,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-09",96.86252,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-10",96.87559,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-11",96.98193,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-12",97.11913,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-01",97.24559,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-02",97.34335,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-03",97.39641,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-04",97.39799,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-05",97.40234,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-06",97.48815,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-07",97.71931,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-08",98.02406,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-09",98.3136,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-10",98.52699,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-11",98.69142,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-12",98.84866,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-01",99.03053,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-02",99.24149,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-03",99.48671,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-04",99.77089,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-05",100.0629,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-06",100.3261,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-07",100.5418,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-08",100.7598,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-09",101.0584,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-10",101.5008,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-11",102.0115,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-12",102.4937,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-01",102.8775,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-02",103.1979,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-03",103.4903,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-04",103.7504,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-05",103.9209,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-06",103.877,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1988-07",103.4999,
