"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4882,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.4671,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2951,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",101.0068,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8366,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.8763,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0881,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.2644,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.4471,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5931,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3916,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7494,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.83373,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.39991,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.49982,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.9158,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.2184,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.2962,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.2107,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1188,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.043,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.96294,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.89159,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.79745,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.67602,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.64386,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.58717,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.50919,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.42926,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.30313,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.10296,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",98.9434,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.80888,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.71316,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",98.83386,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.29291,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0358,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.5303,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.5997,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.4014,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.1996,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.0912,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.0495,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.033,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0266,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.0584,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.2062,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.5656,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",101.1021,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.4494,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.4765,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",101.2553,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",101.0341,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.8276,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.6384,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.506,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",100.3807,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",100.2556,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",100.2923,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-12",100.6308,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-01",101.1947,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-02",101.5111,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-03",101.4069,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-04",101.008,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-05",100.6862,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-06",100.512,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-07",100.4184,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-08",100.3761,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-09",100.3281,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-10",100.2334,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-11",100.1141,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-12",99.99246,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-01",99.85317,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-02",99.76447,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-03",99.70235,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-04",99.63927,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-05",99.60619,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-06",99.59814,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-07",99.60718,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-08",99.63052,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-09",99.66144,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-10",99.66601,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-11",99.55211,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-12",99.16488,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-01",98.55826,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-02",98.06694,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-03",97.65191,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-04",97.23412,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-05",96.9519,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-06",96.79056,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-07",96.707,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-08",96.63338,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-09",96.56071,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-10",96.45479,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-11",96.32893,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-12",96.19221,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-01",96.01772,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-02",95.87923,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-03",95.81052,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-04",95.78609,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-05",95.78996,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-06",95.8401,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-07",95.98453,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-08",96.09355,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-09",96.18822,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-10",96.33135,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-11",96.37518,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-12",96.29115,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-01",96.12609,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-02",96.08623,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-03",96.22937,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-04",96.50475,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-05",96.60989,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-06",96.5034,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-07",96.2998,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-08",96.06083,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-09",95.84132,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-10",95.61292,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-11",95.48365,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-12",95.45335,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-01",95.54292,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-02",95.66709,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-03",95.86,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-04",96.15111,
