"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.18816,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",97.24004,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",97.38115,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.57227,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",97.78077,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.01691,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.31269,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",98.70292,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.14674,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.60512,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.0206,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.3307,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.4615,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.397,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.2266,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.0447,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.90726,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.80308,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.84618,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.1157,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.7108,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.6918,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",102.8433,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",103.8609,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",104.4969,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",104.5762,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",104.1913,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",103.5773,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",102.9011,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",102.2907,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",101.8003,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",101.4421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",101.2078,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",101.0479,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.9145,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.8224,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.8064,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.8461,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.8842,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.8046,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.5238,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",100.0465,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.38053,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",98.55244,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",97.68266,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",96.95476,
