,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,97.25,5.69,97.25,8.76,8.76,NA,,NA,,,1.00,1.00,13.06%,9.25%,3.81%,,,,
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,95.64,5.53,96.10,8.50,8.54,NA,,NA,,,1.00,0.97,13.09%,9.46%,3.62%,,,,
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,96.55,5.45,97.47,8.38,8.46,NA,,NA,,,1.00,0.96,13.10%,9.62%,3.48%,,,,
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,103.03,5.65,104.49,8.69,8.82,NA,,NA,,,1.00,1.00,12.21%,9.10%,3.11%,,,,
1871.05,4.86,0.26,0.40,12.27,1871.37,5.33,108.10,5.78,110.12,8.90,9.06,NA,,NA,,,1.00,1.03,12.26%,8.95%,3.31%,,,,
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,108.90,5.87,111.43,9.04,9.25,NA,,NA,,,1.00,1.05,12.31%,8.77%,3.54%,,,,
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,106.87,5.87,109.85,9.04,9.29,NA,,NA,,,1.00,1.06,12.00%,8.66%,3.34%,,,,
1871.08,4.79,0.26,0.40,11.89,1871.62,5.34,109.95,5.97,113.54,9.18,9.48,NA,,NA,,,1.00,1.08,11.19%,8.27%,2.93%,,,,
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,108.50,5.83,112.53,8.97,9.30,NA,,NA,,,1.00,1.06,11.00%,8.10%,2.90%,,,,
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,101.31,5.74,105.58,8.83,9.20,NA,,NA,,,1.00,1.05,11.48%,8.17%,3.31%,,,,
