,0
30/06/1947 00:00,-1
30/09/1947 00:00,-0.8
31/12/1947 00:00,6.4
31/03/1948 00:00,6.2
30/06/1948 00:00,6.8
30/09/1948 00:00,2.3
31/12/1948 00:00,0.4
31/03/1949 00:00,-5.4
30/06/1949 00:00,-1.4
30/09/1949 00:00,4.2
31/12/1949 00:00,-3.3
31/03/1950 00:00,16.7
30/06/1950 00:00,12.8
30/09/1950 00:00,16.4
31/12/1950 00:00,7.9
31/03/1951 00:00,5.5
30/06/1951 00:00,7.1
30/09/1951 00:00,8.5
31/12/1951 00:00,0.9
31/03/1952 00:00,4.3
30/06/1952 00:00,0.9
30/09/1952 00:00,2.9
31/12/1952 00:00,13.8
31/03/1953 00:00,7.6
30/06/1953 00:00,3.1
30/09/1953 00:00,-2.2
31/12/1953 00:00,-5.9
31/03/1954 00:00,-1.9
30/06/1954 00:00,0.4
30/09/1954 00:00,4.6
31/12/1954 00:00,8.1
31/03/1955 00:00,11.9
30/06/1955 00:00,6.7
30/09/1955 00:00,5.5
31/12/1955 00:00,2.4
31/03/1956 00:00,-1.5
30/06/1956 00:00,3.3
30/09/1956 00:00,-0.4
31/12/1956 00:00,6.7
31/03/1957 00:00,2.6
30/06/1957 00:00,-0.9
30/09/1957 00:00,4
31/12/1957 00:00,-4.1
31/03/1958 00:00,-10
30/06/1958 00:00,2.7
30/09/1958 00:00,9.6
31/12/1958 00:00,9.7
31/03/1959 00:00,7.9
30/06/1959 00:00,9.3
30/09/1959 00:00,0.3
31/12/1959 00:00,1.1
31/03/1960 00:00,9.3
30/06/1960 00:00,-2.1
30/09/1960 00:00,2
31/12/1960 00:00,-5
31/03/1961 00:00,2.7
30/06/1961 00:00,7
30/09/1961 00:00,7.9
31/12/1961 00:00,8.1
31/03/1962 00:00,7.3
30/06/1962 00:00,3.7
30/09/1962 00:00,5
31/12/1962 00:00,1.3
31/03/1963 00:00,4.4
30/06/1963 00:00,4.6
30/09/1963 00:00,9.1
31/12/1963 00:00,2.6
31/03/1964 00:00,8.7
30/06/1964 00:00,4.4
30/09/1964 00:00,6.4
31/12/1964 00:00,1.2
31/03/1965 00:00,10
30/06/1965 00:00,5.1
30/09/1965 00:00,9.2
31/12/1965 00:00,9.5
31/03/1966 00:00,10.1
30/06/1966 00:00,1.4
30/09/1966 00:00,3.4
31/12/1966 00:00,3.3
31/03/1967 00:00,3.6
30/06/1967 00:00,0.2
30/09/1967 00:00,3.8
31/12/1967 00:00,3
31/03/1968 00:00,8.4
30/06/1968 00:00,6.9
30/09/1968 00:00,3.1
31/12/1968 00:00,1.6
31/03/1969 00:00,6.4
30/06/1969 00:00,1.2
30/09/1969 00:00,2.7
31/12/1969 00:00,-1.9
31/03/1970 00:00,-0.6
30/06/1970 00:00,0.6
30/09/1970 00:00,3.7
31/12/1970 00:00,-4.2
31/03/1971 00:00,11.3
30/06/1971 00:00,2.2
30/09/1971 00:00,3.3
31/12/1971 00:00,0.9
31/03/1972 00:00,7.6
30/06/1972 00:00,9.4
30/09/1972 00:00,3.8
31/12/1972 00:00,6.9
31/03/1973 00:00,10.3
30/06/1973 00:00,4.4
30/09/1973 00:00,-2.1
31/12/1973 00:00,3.8
31/03/1974 00:00,-3.4
30/06/1974 00:00,1
30/09/1974 00:00,-3.7
31/12/1974 00:00,-1.5
31/03/1975 00:00,-4.8
30/06/1975 00:00,2.9
30/09/1975 00:00,7
31/12/1975 00:00,5.5
31/03/1976 00:00,9.3
30/06/1976 00:00,3
30/09/1976 00:00,2.2
31/12/1976 00:00,2.9
31/03/1977 00:00,4.8
30/06/1977 00:00,8
30/09/1977 00:00,7.4
31/12/1977 00:00,0
31/03/1978 00:00,1.3
30/06/1978 00:00,16.4
30/09/1978 00:00,4.1
31/12/1978 00:00,5.5
31/03/1979 00:00,0.7
30/06/1979 00:00,0.4
30/09/1979 00:00,3
31/12/1979 00:00,1
31/03/1980 00:00,1.3
30/06/1980 00:00,-8
30/09/1980 00:00,-0.5
31/12/1980 00:00,7.7
31/03/1981 00:00,8.1
30/06/1981 00:00,-2.9
30/09/1981 00:00,4.9
31/12/1981 00:00,-4.3
31/03/1982 00:00,-6.1
30/06/1982 00:00,1.8
30/09/1982 00:00,-1.5
31/12/1982 00:00,0.2
31/03/1983 00:00,5.4
30/06/1983 00:00,9.4
30/09/1983 00:00,8.2
31/12/1983 00:00,8.6
31/03/1984 00:00,8.1
30/06/1984 00:00,7.1
30/09/1984 00:00,3.9
31/12/1984 00:00,3.3
31/03/1985 00:00,3.9
30/06/1985 00:00,3.6
30/09/1985 00:00,6.2
31/12/1985 00:00,3
31/03/1986 00:00,3.8
30/06/1986 00:00,1.8
30/09/1986 00:00,3.9
31/12/1986 00:00,2.2
31/03/1987 00:00,3
30/06/1987 00:00,4.4
30/09/1987 00:00,3.5
31/12/1987 00:00,7
31/03/1988 00:00,2.1
30/06/1988 00:00,5.4
30/09/1988 00:00,2.4
31/12/1988 00:00,5.4
31/03/1989 00:00,4.1
30/06/1989 00:00,3.1
30/09/1989 00:00,3
31/12/1989 00:00,0.8
31/03/1990 00:00,4.4
30/06/1990 00:00,1.5
30/09/1990 00:00,0.3
31/12/1990 00:00,-3.6
31/03/1991 00:00,-1.9
30/06/1991 00:00,3.2
30/09/1991 00:00,2
31/12/1991 00:00,1.4
31/03/1992 00:00,4.9
30/06/1992 00:00,4.4
30/09/1992 00:00,4
31/12/1992 00:00,4.2
31/03/1993 00:00,0.7
30/06/1993 00:00,2.3
30/09/1993 00:00,1.9
31/12/1993 00:00,5.6
31/03/1994 00:00,3.9
30/06/1994 00:00,5.5
30/09/1994 00:00,2.4
31/12/1994 00:00,4.7
31/03/1995 00:00,1.4
30/06/1995 00:00,1.2
30/09/1995 00:00,3.5
31/12/1995 00:00,2.7
31/03/1996 00:00,3
30/06/1996 00:00,6.8
30/09/1996 00:00,3.6
31/12/1996 00:00,4.2
31/03/1997 00:00,2.6
30/06/1997 00:00,6.8
30/09/1997 00:00,5.1
31/12/1997 00:00,3.5
31/03/1998 00:00,4.1
30/06/1998 00:00,3.8
30/09/1998 00:00,5.1
31/12/1998 00:00,6.6
31/03/1999 00:00,3.8
30/06/1999 00:00,3.4
30/09/1999 00:00,5.4
31/12/1999 00:00,6.7
31/03/2000 00:00,1.5
30/06/2000 00:00,7.5
30/09/2000 00:00,0.4
31/12/2000 00:00,2.4
31/03/2001 00:00,-1.3
30/06/2001 00:00,2.5
30/09/2001 00:00,-1.6
31/12/2001 00:00,1.1
31/03/2002 00:00,3.4
